#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0418+2717| 152371871863155840|DA      |11363|  61|7.861|0.007|0.526|0.005|    |     |
J0420+1952|  49013483883923968|DA      | 6448|  34|8.025|0.014|0.605|0.013|    |     |
J0420+2617| 150577636388844160|DA      | 6512|  42|7.941|0.023|0.556|0.019|    |     |
J0420+3233| 172616247455056384|DA      |16296| 196|7.966|0.011|0.596|0.010|    |     |
J0420+3616| 177368203568437120|DA      |10934| 144|7.853|0.014|0.521|0.011|    |     |
J0422+3357| 175817750438186240|DA      | 6796|  30|7.931|0.027|0.551|0.021|    |     |
J0428+0006|3254620732512634624|DA      | 6852|  52|8.125|0.039|0.668|0.035|    |     |
J0428+0052|3278914205706332928|DA      | 9989|  44|7.972|0.012|0.584|0.010|    |     |
J0430+0941|3293635012838798464|DA      | 6966|  60|8.029|0.026|0.609|0.023|    |     |
J0431+1911|3410702768924111872|DA      |15578| 260|8.096|0.016|0.670|0.014|    |     |
J0433+5527| 277090540953615616|DA      | 8686| 133|7.917|0.027|0.548|0.021|    |     |
J0435-0601|3199430372695297792|DA      |14501| 109|8.090|0.008|0.665|0.007|    |     |
J0436+5537| 277138090534130560|DA      | 7204|  48|8.181|0.016|0.705|0.015|    |     |
J0439-0405|3201594074140023936|DA      | 8013|  38|7.944|0.010|0.562|0.007|    |     |
J0440+0923|3292685210887016192|DA      | 6327|  34|8.295|0.009|0.777|0.008|    |     |
J0441+1059|3294248609046258048|DA      |27460| 382|8.149|0.012|0.725|0.010|    |     |
J0441+2042|3411147173483832320|DA      | 7443|  62|7.802|0.023|0.482|0.016|    |     |
J0443-0607|3199980330371548800|DA      | 5497|  70|8.096|0.048|0.644|0.043|    |     |
J0445-0618|3187950092615927552|DA      | 6569|  31|7.997|0.012|0.589|0.011|    |     |
J0449+2423| 147095826660107520|DA      |14043| 164|8.456|0.011|0.897|0.010|    |     |
J0451-0333|3224908977688888064|DA      |10937| 104|7.993|0.011|0.599|0.009|    |     |
J0452-0043|3226718494654224256|DA      | 6190|  62|8.156|0.043|0.686|0.037|    |     |
J0454+1218|3295332796231463168|DA      | 6511|  62|7.945|0.035|0.557|0.028|    |     |
J0455-0058|3226519762223501696|DA      |20839| 404|9.164|0.018|1.263|0.006|    |     |
J0458+2548|3419918875386344576|DA      |10444| 101|8.324|0.025|0.805|0.022|    |     |
J0459+2317|3418592726925673728|DA      | 7657|  54|7.945|0.018|0.561|0.015|    |     |
J0459-0022|3228023859770327424|DA      |11012|  59|8.787|0.005|1.093|0.003|    |     |
J0502+2402|3418741367154043648|DA      | 9723| 100|8.417|0.018|0.865|0.015|    |     |
J0502+2522|3420019270246122112|DA      | 7897|  65|8.255|0.024|0.755|0.022|    |     |
J0510-0037|3227446822324601472|DA      |17987| 160|7.948|0.008|0.590|0.006|    |     |
J0513-0522|3208758831207224704|DA      | 6438|  36|8.009|0.021|0.595|0.018|    |     |
J0519-0545|3209958746287926528|DA      | 8874|  40|8.019|0.009|0.609|0.007|    |     |
J0520+0114|3222138444609365248|DAH     | 6588|  55|8.251|0.025|0.749|0.023|    |     |
J0521+1622|3394087945636978432|DA      |10206|  81|7.993|0.015|0.597|0.013|    |     |
J0524-0535|3209308900555979776|DA      |17233| 150|8.023|0.006|0.631|0.006|    |     |
J0526+0339|3236259854698180480|DA      | 9744|  81|8.435|0.016|0.877|0.014|    |     |
J0531+0009|3220982720449432448|DA      | 5536|  50|8.141|0.043|0.673|0.039|    |     |
J0531-0003|3220964376644865024|DA      |11115|  64|7.337|0.008|0.306|0.004|    |     |
J0532+0624|3333830379107891968|DA      | 8292|  36|7.201|0.013|0.254|0.005|    |     |
J0533+6057| 283096760659311744|DA      |11363|  66|7.955|0.008|0.578|0.006|    |     |
J0533-0750|3016329285438157312|DA      | 9546|  62|7.524|0.013|0.364|0.007|    |     |
J0534-0214|3216947242193857024|DA      |28060| 560|8.585|0.018|0.993|0.014|    |     |
J0535+0526|3332761855668238464|DA      | 8974|  84|8.391|0.018|0.847|0.016|    |     |
J0538+1832|3397839440654502656|DA      | 6427|  32|8.121|0.018|0.665|0.016|    |     |
J0538+6222| 286251461381258624|DA      | 6602|  41|8.042|0.027|0.616|0.023|    |     |
J0542+0144|3222969370457259648|DA      | 9244|  44|8.325|0.009|0.804|0.008|    |     |
J0542+8219| 558036098518042752|DA      | 5910|  38|7.948|0.016|0.557|0.014|    |     |
J0543+0036|3219428015303785856|DA      | 6539|  35|7.995|0.023|0.587|0.020|    |     |
J0543+6338| 286925049691578496|DA      | 6462|  44|8.004|0.019|0.592|0.017|    |     |
J0546+2055|3400048535611299456|DA      |11684|  64|7.947|0.010|0.574|0.008|    |     |
J0552+3124|3444888196042856192|DAZ     |13613|  64|8.173|0.005|0.714|0.004|    |     |
J0553+6348| 286977585732431488|DA      | 7834|  82|8.253|0.019|0.753|0.017|    |     |
J0559+0228|3315967953720905216|DA      |22032| 246|7.584|0.013|0.431|0.007|    |     |
J0559+0512|3321431014682434176|DA      |10664|  49|7.981|0.009|0.591|0.007|    |     |
J0600+2343|3424863550977729536|DA      | 8248|  41|7.985|0.011|0.587|0.009|    |     |
J0601-0101|3026097243659561600|DA      | 6629|  60|8.060|0.029|0.627|0.026|    |     |
J0602+3314|3450734539887203072|DA      |10548|  46|8.138|0.010|0.686|0.008|    |     |
J0605+0505|3318463707678938368|DA      | 9902|  59|8.048|0.014|0.629|0.012|    |     |
J0607+3415|3452373568124842752|DAH     |21132| 340|8.954|0.013|1.182|0.007|    |     |
J0608+0016|3122380407457501824|DA      | 7859|  56|8.039|0.016|0.618|0.013|    |     |
J0608-0059|3121385658671190784|DA      |17331| 180|9.211|0.010|1.276|0.004|    |     |
J0609+3525|3453292832862501120|DAZ     | 9961|  36|8.043|0.007|0.626|0.006|    |     |
J0611+0544|3318722672728544384|DA      | 6717|  42|7.980|0.030|0.579|0.024|    |     |
J0611+2429|3425920250370248832|DA      | 7356|  28|7.993|0.013|0.589|0.011|    |     |
J0613-0104|3121223102749655808|DA      | 7932|  60|8.505|0.019|0.919|0.017|    |     |
J0615+4638| 968662184929578496|DA      |10127|  98|8.292|0.016|0.784|0.014|    |     |
J0620+0700|3324963367588643968|DA      |10126|  84|7.568|0.016|0.384|0.009|    |     |
J0620+3443|3440684419492448128|DA      | 9828|  52|8.075|0.010|0.645|0.008|    |     |
J0620+8247|1143693887630730240|DA      | 7373|  46|8.047|0.015|0.621|0.013|    |     |
