#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J1605+5556|1621523537776065280|DA      | 6837|  38|7.412|0.014|0.310|0.007|    |     |
J1605-0028|4406733207018066944|DA      | 9272|  50|7.984|0.011|0.589|0.009|    |     |
J1607+2933|1317275544951049472|DA      |11106|  48|8.160|0.005|0.701|0.004|    |     |
J1607+3423|1323922779935068160|DA      | 5574|  20|7.971|0.007|0.567|0.006|    |     |
J1607-0230|4405080812841630592|DA      | 7415|  52|8.004|0.017|0.595|0.015|    |     |
J1608+1723|1199686173677816576|DA      | 7788|  26|8.477|0.013|0.901|0.011|    |     |
J1608+4205|1384866854036828032|DA      |12613|  82|7.289|0.006|0.298|0.002|    |     |
J1608+4256|1384982332821602560|DA      | 8511|  48|7.943|0.012|0.563|0.010|    |     |
J1609+1619|1198427031003111552|DA      | 7200|  41|8.046|0.013|0.620|0.011|    |     |
J1609+2441|1303034120592956160|DA      | 7075|  34|8.617|0.011|0.990|0.009|    |     |
J1609+5222|1427746463194276736|DAM     | 6606|  42|8.612|0.010|0.986|0.008|    |     |
J1609-0031|4406683522836435968|DA      | 6710|  53|7.985|0.030|0.582|0.025|    |     |
J1610+1327|4458251064854338176|DAH     | 6599|  18|8.005|0.007|0.593|0.006|    |     |
J1611+6141|1628349890076998912|DA      |10351|  56|8.016|0.007|0.611|0.007|    |     |
J1612+1419|4464512882357505280|DA      |13930| 128|7.910|0.014|0.560|0.010|    |     |
J1612+3255|1322796261553165824|DA      |11483| 141|8.111|0.013|0.672|0.011|    |     |
J1613+1631|1198632983274798336|DA      |14837| 184|7.934|0.010|0.575|0.008|    |     |
J1613+5521|1429618420396285952|DA      |11645|  81|8.055|0.006|0.638|0.006|    |     |
J1615+4602|1386704545987569280|DA:     | 4772|  46|7.691|0.039|0.408|0.027|    |     |
J1616+6310|1629354495811136384|DA      | 7523|  61|8.394|0.016|0.846|0.015|    |     |
J1617+1129|4454017257893306496|DA      |11691|  74|8.174|0.008|0.711|0.007|    |     |
J1617+1554|4465105351622152704|DA      |18034| 224|7.968|0.010|0.601|0.008|    |     |
J1620+0756|4451874958268328960|DA      | 6355|  36|8.071|0.022|0.633|0.020|    |     |
J1620+1436|4464010508621809664|DA      | 4946|  40|7.825|0.037|0.478|0.028|    |     |
J1620+5223|1425130935485979520|DA      |15842| 209|7.713|0.011|0.465|0.007|    |     |
J1621+0552|4437908587914479360|DA      | 8307|  45|8.499|0.013|0.916|0.011|    |     |
J1622+0532|4437884055061048064|DA      | 7581|  26|7.468|0.010|0.333|0.006|    |     |
J1622+0713|4439766762564880512|DA      | 8373| 122|8.085|0.026|0.647|0.023|    |     |
J1622+1213|4460086458999242368|DA      |16937| 134|7.887|0.007|0.555|0.005|    |     |
J1622+1822|1200416902234462464|DA      | 6237|  36|8.178|0.030|0.700|0.026|    |     |
J1623+3340|1325705942981586176|DA      | 6822|  74|8.080|0.026|0.640|0.024|    |     |
J1624+1347|4463664815294536192|DA      | 6866|  47|8.007|0.024|0.596|0.020|    |     |
J1624+3212|1325292217371985024|DA      |10996|  80|7.912|0.011|0.553|0.009|    |     |
J1626+0552|4438653541403499776|DAH     | 8912|  80|8.231|0.017|0.741|0.016|    |     |
J1626+1355|4463681655863346816|DA      | 6808|  41|7.965|0.011|0.570|0.009|    |     |
J1626+4918|1411292580922301312|DA      | 9371|  52|8.019|0.009|0.610|0.008|    |     |
J1627+0028|4407614499946419200|DA      | 5916|  14|8.005|0.008|0.590|0.007|    |     |
J1628+2332|1299122058220640512|DAH     | 7269|  61|8.301|0.016|0.784|0.015|    |     |
J1629+0045|4431665212995124608|DA      | 9624|  66|8.351|0.016|0.822|0.014|    |     |
J1629+2022|1297161594628972672|DA      | 9835|  76|7.972|0.014|0.584|0.012|    |     |
J1629+5357|1425374610454574464|DA      | 9049|  62|8.552|0.011|0.952|0.010|    |     |
J1630+2639|1304274094830734720|DA      |11503| 124|7.967|0.013|0.585|0.010|    |     |
J1630+2724|1304733106575117056|DAH     |11098| 150|8.720|0.019|1.056|0.013|    |     |
J1631-0516|4352651700380171392|DA      | 6518|  41|8.018|0.024|0.601|0.020|    |     |
J1633+3930|1331894033078063488|DA      |18032| 180|7.770|0.008|0.498|0.006|    |     |
J1634+0934|4446506356529203968|DA      | 6731|  41|7.784|0.018|0.471|0.013|    |     |
J1634+1736|4466388790929771904|DAZ     |10149|  10|7.245|0.002|0.275|0.001|    |     |
J1634+7558|1703379704562897280|DA      | 9915|  30|7.634|0.005|0.411|0.004|    |     |
J1634-0901|4338593516506343424|DA      | 8492|  54|8.062|0.018|0.633|0.015|    |     |
J1635+5053|1411867767238390912|DA      |10396|  43|7.914|0.007|0.552|0.006|    |     |
J1637+0110|4384056565671592576|DA      | 7070|  32|7.978|0.012|0.579|0.010|    |     |
J1637+1110|4447152865064276736|DA      | 5452|  25|7.926|0.017|0.540|0.014|    |     |
J1637+1340|4461228611063376128|DAZ     | 6735|  32|7.962|0.009|0.568|0.007|    |     |
J1637+5133|1425397189098547200|DA      | 7144|  46|8.124|0.010|0.669|0.010|    |     |
J1637-0204|4358066107952246784|DA      | 8046|  34|7.978|0.010|0.582|0.008|    |     |
J1638+1554|4462895505049732608|DA      |12979| 114|8.038|0.006|0.630|0.005|    |     |
J1639+1036|4447039585308297088|DAH     | 6481|  46|8.280|0.022|0.768|0.020|    |     |
J1639+3325|1326398777041821568|DA      | 9816|  18|7.983|0.003|0.590|0.002|    |     |
J1639+4030|1355979969155873792|DA      | 8309|  58|8.130|0.011|0.675|0.009|    |     |
J1640+2229|1299314816353108992|DAZ     | 7486|  54|8.071|0.013|0.636|0.012|    |     |
J1640+5341|1425909733315616000|DAH     | 7743|  32|8.269|0.006|0.764|0.006|    |     |
J1641+1512|4462612140287443840|DA      | 7363|  26|7.906|0.007|0.539|0.006|    |     |
J1643+3841|1352571723628352512|DA      |15687| 169|8.070|0.008|0.655|0.007|    |     |
J1643+6328|1631796309274519040|DA      |12203| 117|8.356|0.010|0.829|0.009|    |     |
J1644+1657|4559106586411037440|DA      |15293|  76|8.344|0.007|0.826|0.006|    |     |
J1644+7628|1704918191912744192|DA      | 6767|  31|8.064|0.010|0.630|0.008|    |     |
J1645+3059|1311660540930405632|DAZ     | 7140|  46|8.182|0.018|0.706|0.016|    |     |
J1645+4958|1412228093519039744|DA      | 6677|  28|7.888|0.012|0.526|0.010|    |     |
J1646+0303|4385909109622569088|DA      | 8337|  50|7.975|0.015|0.581|0.013|    |     |
J1646+2518|1300356053864952064|DA      |12684| 115|8.018|0.007|0.618|0.006|    |     |
J1647+7712|1705751041906319872|DA      |12371| 105|7.946|0.008|0.576|0.007|    |     |
J1649+3728|1351486711809893888|DA      |22209| 219|7.931|0.009|0.591|0.006|    |     |
J1650-1004|4334670557801027840|DA      | 7432|  60|7.889|0.022|0.529|0.017|    |     |
J1652+1346|4449495546386664832|DA      | 6018|  32|8.004|0.026|0.591|0.023|    |     |
J1654+1243|4449057326579614592|DA      | 5321|  28|7.982|0.018|0.572|0.014|    |     |
J1654+2352|4566554472019360128|DA      |10700|  91|8.033|0.013|0.622|0.011|    |     |
J1654+3829|1351956512512484480|DAZ     | 5838|  18|8.186|0.006|0.704|0.006|    |     |
J1654+6339|1631669453120152192|DA      |15785| 199|7.912|0.011|0.565|0.009|    |     |
J1655+1231|4448378171991893888|DA      |13717| 186|8.320|0.013|0.809|0.011|    |     |
J1655+1850|4559800992425812096|DA      | 6255|  50|7.939|0.024|0.553|0.019|    |     |
J1655+2533|1306197930941817984|DA      |11195|  74|9.246|0.007|1.285|0.003|    |     |
J1656+1942|4561417003938888704|DA      |14247| 126|8.018|0.010|0.621|0.008|    |     |
J1657+2126|4565048312887877888|DA      | 9147|  41|8.004|0.006|0.601|0.005|    |     |
J1658+2210|4565386996828484224|DA      | 6522|  40|7.950|0.021|0.561|0.016|    |     |
J1658-0617|4340322876499078400|DA      | 5587|  14|8.099|0.007|0.646|0.007|    |     |
J1659+1705|4558448219470271616|DA      | 9044|  54|8.039|0.013|0.621|0.011|    |     |
J1659+3203|1313405848136604672|DA      | 6403|  24|8.472|0.006|0.895|0.006|    |     |
J1659+4401|1358301480583401728|DAH     |28169| 328|9.186|0.010|1.272|0.003|    |     |
J1659+4425|1358325021299899136|DA      | 5504|  12|7.927|0.005|0.541|0.004|    |     |
J1659+6610|1635687790163070976|DA      |11422| 106|8.826|0.010|1.114|0.006|    |     |
J1701+4124|1354610798005917312|DA      | 9792|  72|8.305|0.013|0.791|0.012|    |     |
J1701+6111|1438252232373823360|DA      |10739|  50|8.121|0.008|0.676|0.007|    |     |
J1702+1022|4444590625015876864|DA      | 5169|  23|8.419|0.009|0.856|0.008|    |     |
J1702+3905|1353355434900703616|DA      |10493|  44|8.123|0.006|0.676|0.006|    |     |
J1704+2007|4561641991506408448|DA      | 6351|  27|8.039|0.009|0.613|0.008|    |     |
J1704+2916|1308772574857190144|DA      |13740| 140|8.424|0.006|0.875|0.006|    |     |
J1705+4803|1408135749896103936|DA      |13545|  98|8.040|0.005|0.633|0.005|    |     |
J1705+4803|1408135749896104192|DA      | 8742|  26|7.118|0.005|0.236|0.002|    |     |
J1706+6316|1631186458277453440|DAH     |10293|  77|8.436|0.014|0.878|0.013|    |     |
J1707+2224|4568179481487112832|DA      |14841| 122|7.884|0.007|0.548|0.005|    |     |
J1707+3532|1338455643596995072|DAH     |22331| 415|8.872|0.013|1.145|0.007|    |     |
J1707+6413|1632041328568823424|DA      | 7617|  46|7.967|0.014|0.574|0.011|    |     |
J1708+3312|1334638379741833728|DA      |12025|  92|7.997|0.006|0.604|0.005|    |     |
J1711+0932|4443586358581794176|DA      | 7494|  42|7.952|0.015|0.565|0.012|    |     |
J1712+3921|1341599143042727680|DAH     | 6043|  30|8.091|0.016|0.644|0.014|    |     |
J1712+5629|1432420624562923520|DA      | 7136|  40|7.931|0.013|0.552|0.011|    |     |
J1713+3355|1335071381164641280|DA      |11281|  84|8.289|0.010|0.784|0.009|    |     |
J1713+4053|1342008814203085440|DA      | 8690|  64|8.522|0.010|0.932|0.009|    |     |
J1713-0032|4368448074699014528|DA      | 8432|  39|7.954|0.012|0.569|0.010|    |     |
J1714+6238|1438843215578245888|DA      |15387| 168|8.068|0.009|0.654|0.008|    |     |
J1715+3313|1334770870892758912|DA      |20331| 286|7.294|0.010|0.334|0.004|    |     |
J1716+2612|4573650303451549952|DA      | 8221|  50|7.856|0.014|0.514|0.011|    |     |
J1717+6136|1438490650303065984|DA      | 6523|  82|8.560|0.032|0.953|0.027|    |     |
J1718+2524|4570546317703725312|DA      |11361| 144|8.042|0.012|0.629|0.010|    |     |
J1722+2645|4574032765995786496|DA      |14860| 114|7.996|0.007|0.610|0.005|    |     |
J1722+2848|4598568230530318592|DA      | 5129|  42|8.048|0.022|0.610|0.019|    |     |
J1722+3221|1333697880686680960|DA      | 6498|  38|7.920|0.022|0.543|0.018|    |     |
J1722+3602|1336712848945895680|DA      |11945|  55|7.935|0.005|0.569|0.004|    |     |
J1722+3958|1346883876962000000|DA      |11069| 108|8.616|0.014|0.994|0.011|    |     |
J1723+0905|4490607183799536896|DA      | 6860|  26|7.489|0.015|0.338|0.008|    |     |
J1724+2756|4598266758185956864|DA      | 6115|  20|8.302|0.007|0.781|0.007|    |     |
J1725+6209|1439283711720415872|DA      | 7651|  60|7.931|0.014|0.554|0.011|    |     |
J1726+3112|4599998179762051200|DA      | 7730|  32|7.863|0.010|0.516|0.007|    |     |
J1727+0900|4490567017265616128|DA      |20658| 270|7.977|0.010|0.612|0.008|    |     |
J1727+7842|1705586493119219712|DA      |12215| 116|7.945|0.008|0.575|0.007|    |     |
J1729+0208|4376670222653381376|DA      |13889| 118|7.920|0.014|0.565|0.011|    |     |
J1729+2916|4598830738931385984|DA      | 7053|  30|8.349|0.006|0.815|0.006|    |     |
J1732+2302|4557059845518172288|DA      |10908|  54|8.026|0.010|0.618|0.009|    |     |
J1733+2705|4595011409196652544|DA      | 6296|  44|8.059|0.024|0.625|0.021|    |     |
J1736+6102|1435977686413453056|DA      |15491| 140|7.938|0.007|0.579|0.006|    |     |
J1739+4404|1350007967453813632|DA      | 8090|  59|8.135|0.014|0.678|0.012|    |     |
J1739+6043|1435776922462177408|DA      | 6672|  40|7.972|0.012|0.574|0.010|    |     |
J1741+2401|4581383928942599296|DA      | 6919|  26|8.336|0.006|0.806|0.005|    |     |
J1742+0759|4486694709112801536|DA      |12054|  60|8.135|0.007|0.687|0.006|    |     |
J1742+4338|1349256249394224128|DA      | 5444|  10|7.990|0.005|0.578|0.004|    |     |
J1742+5136|1368236912466084352|DA      | 8572|  32|7.993|0.006|0.592|0.005|    |     |
J1743+0502|4473632403597115776|DA      | 7011| 128|8.869|0.059|1.133|0.036|    |     |
J1745+4825|1363721110836082176|DA      | 7763|  42|8.006|0.013|0.598|0.012|    |     |
J1748+0052|4372558083524803072|DAH     | 9066|  53|8.451|0.010|0.886|0.009|    |     |
J1752+5037|1367469041032593024|DA      | 9188|  32|8.099|0.006|0.658|0.005|    |     |
J1753+5039|1367551813642685952|DA      | 8793|  52|8.384|0.010|0.841|0.009|    |     |
J1754+3846|4610983121260366336|DAH     | 6431|  30|8.170|0.008|0.696|0.008|    |     |
J1754+5938|1423078520938173056|DA      | 6331|  51|8.004|0.026|0.592|0.022|    |     |
J1757+3900|4610819951159775616|DA      | 6929|  91|8.367|0.032|0.827|0.029|    |     |
J1757+5441|1417200020676904704|DA      | 7559|  34|7.934|0.008|0.555|0.006|    |     |
J1758+5201|1367876852471768320|DA      | 8265|  67|8.368|0.014|0.830|0.013|    |     |
J1802+0059|4467742388527832192|DA      |15963|  90|7.996|0.006|0.613|0.005|    |     |
J1806+2312|4578278903808759040|DA      | 8811|  95|8.558|0.016|0.955|0.014|    |     |
J1807+0356|4470233817461336704|DA      |10247|  40|8.079|0.005|0.649|0.004|    |     |
J1811+2213|4577915996250307968|DA      | 7407|  56|7.982|0.022|0.582|0.018|    |     |
J1811+2423|4578464515115212672|DA      | 8195|  55|8.033|0.012|0.615|0.011|    |     |
J1812+4321|2114811453822316160|DA      |12445| 142|8.490|0.009|0.917|0.008|    |     |
J1822+2257|4530172280800983808|DA      | 6340|  68|8.330|0.030|0.801|0.027|    |     |
J1828+4149|2111294734600515072|DA      | 6521|  38|8.220|0.022|0.729|0.021|    |     |
J1835+6312|2160210705546460032|DA      |11266|  80|7.849|0.008|0.519|0.007|    |     |
J1841+4107|2110551602180192256|DA      | 5812|  42|8.012|0.035|0.594|0.030|    |     |
J1849+4020|2098318989863211648|DA      |17647| 153|7.981|0.007|0.608|0.006|    |     |
J1849+6458|2253826832091026560|DBH?DAH?|15461| 210|8.902|0.011|1.155|0.006|    |     |
J1852+1833|4517521407404432512|DAH     | 8760|  63|8.505|0.011|0.921|0.010|    |     |
J1857+2026|4518917168694695168|DA+DC?  | 6650|  22|8.296|0.007|0.779|0.006|    |     |
J1857+4035|2103614787618232192|DA      |19417| 185|7.974|0.008|0.608|0.006|    |     |
J1902+7728|2292799369631237760|DA      |17325| 300|9.167|0.016|1.263|0.006|    |     |
J1918+3851|2100934448852549760|DA      | 8397| 111|8.477|0.028|0.902|0.024|    |     |
J1918+6258|2252512954353689344|DA      | 7832|  44|8.066|0.013|0.634|0.011|    |     |
J1928+1526|4321498378443922816|DA      |11623| 141|8.636|0.017|1.007|0.013|    |     |
J1948+6122|2240605346504273280|DA      | 6073|  36|7.996|0.026|0.586|0.022|    |     |
J1954+0115|4240366136980012416|DA      | 6232|  65|8.299|0.030|0.780|0.027|    |     |
J1955-0030|4237044301894347392|DA      | 8829|  81|8.370|0.024|0.832|0.021|    |     |
J1956-0102|4235280071072332672|DA      | 7752|  43|8.175|0.007|0.702|0.007|    |     |
J2004-1058|4190734280885088128|DA      | 7811| 108|8.271|0.031|0.765|0.028|    |     |
J2006+5902|2236381950543626240|DA      |13854|  78|7.749|0.006|0.477|0.004|    |     |
J2007+3222|2055059112897283712|DA      | 6260|  33|8.426|0.023|0.865|0.021|    |     |
J2009-0059|4236208432541189376|DA      | 7014|  62|8.327|0.026|0.801|0.024|    |     |
J2010-1126|6880851931079280512|DA      | 6272|  36|7.985|0.026|0.580|0.021|    |     |
J2011+0913|4299397713684601088|DA      | 6797|  33|7.663|0.015|0.412|0.010|    |     |
J2011+7710|2290479876836755840|DA      |14072| 144|8.213|0.010|0.740|0.008|    |     |
J2013+0709|4250461749665556224|DA      |11687|  88|8.090|0.010|0.659|0.009|    |     |
J2020-0005|4230332092645516672|DA      | 6952|  41|7.953|0.013|0.564|0.011|    |     |
J2024+5748|2187881835511177216|DA      |10465| 111|8.699|0.014|1.043|0.011|    |     |
J2027+0523|4246381595156273792|DA      | 7006|  28|7.920|0.011|0.545|0.009|    |     |
J2030+0655|1748816983925915776|DA      | 5926|  23|8.123|0.008|0.664|0.008|    |     |
J2034+1345|1756261467922806784|DA      | 7174|  86|8.446|0.024|0.880|0.022|    |     |
J2041+4320|2069588300054515200|DA      | 7000|  36|8.070|0.012|0.634|0.011|    |     |
J2042+3752|2063293355469201152|DA      | 6042|  46|8.484|0.027|0.903|0.025|    |     |
J2044+1533|1762951588154154240|DA      |16805| 206|8.301|0.010|0.801|0.008|    |     |
J2044+4030|2066035777984385664|DA      |12722| 112|8.015|0.005|0.616|0.005|    |     |
J2044+4030|2066035777984385792|DAH     | 7393|  46|8.399|0.011|0.849|0.010|    |     |
J2045+0424|1735171735387308160|DA      | 6462|  43|8.563|0.031|0.955|0.026|    |     |
J2045+1526|1762899533150392704|DA      |13044| 165|8.132|0.011|0.688|0.009|    |     |
J2045-0016|4227915744043939584|DA+DC?  | 7094|  42|7.846|0.029|0.505|0.022|    |     |
J2045-1612|6886287332455279104|DA      | 7454|  49|8.003|0.027|0.595|0.022|    |     |
J2046-0644|6907108371830928768|DA      | 9258|  56|7.940|0.015|0.563|0.012|    |     |
J2046-0710|6907031749613795968|DAH     | 8603| 108|8.326|0.022|0.803|0.020|    |     |
J2046-1413|6887386745296346624|DA      | 8409|  46|7.915|0.011|0.547|0.009|    |     |
J2049+4500|2163226700308494080|DA      |10959|  79|8.089|0.008|0.656|0.007|    |     |
J2051+5636|2189957816542364800|DA      | 7059|  46|8.016|0.015|0.601|0.013|    |     |
J2053+0941|1750545141328217984|DA      |15321| 128|7.942|0.010|0.581|0.008|    |     |
J2053+4203|2065903359853755392|DA      |15103| 170|8.330|0.009|0.817|0.008|    |     |
J2053-0016|4227320672031546240|DA      |22721| 260|7.948|0.013|0.601|0.010|    |     |
J2054+2337|1842543963578582016|DA      |17018| 194|8.199|0.012|0.737|0.010|    |     |
J2055+1025|1750703234778677760|DA      |12636| 135|8.026|0.010|0.622|0.008|    |     |
J2056+0621|1736555475066523008|DA      | 9176|  36|7.540|0.014|0.368|0.009|    |     |
J2057+0944|1750460792464604672|DA      | 7302|  62|8.402|0.025|0.851|0.023|    |     |
J2058+0733|1737897841324840832|DA      |26420| 306|8.392|0.012|0.873|0.010|    |     |
J2104-0313|6915911134936982784|DA      |20299| 272|7.991|0.014|0.620|0.011|    |     |
J2105+0602|1736329589850340736|DA      | 6282|  43|8.121|0.035|0.664|0.030|    |     |
J2108-0033|2689915958535673472|DA      | 6270|  40|8.134|0.028|0.672|0.025|    |     |
J2109+0131|2690830511689102336|DA      | 6088|  50|8.377|0.025|0.831|0.022|    |     |
J2109-0111|2688986325747403264|DA      | 7468|  54|8.101|0.026|0.655|0.023|    |     |
J2111+0120|2690763205257368832|DA      |15968| 208|7.983|0.010|0.605|0.008|    |     |
J2111+1102|1745011677261492608|DAH     |16208| 202|8.852|0.013|1.131|0.007|    |     |
J2115-0741|6898489884295407488|DA      | 8124|  36|8.176|0.012|0.704|0.010|    |     |
J2115-0741|6898489884295412352|DA      |10616|  50|8.412|0.008|0.863|0.008|    |     |
J2118+1120|1746315255670491904|DA      | 5983|  31|8.226|0.013|0.730|0.012|    |     |
J2118+5412|2176116580055936512|DA      |16533| 141|8.164|0.006|0.714|0.005|    |     |
J2119-0300|2685318075783946368|DA      | 8767|  48|7.517|0.018|0.358|0.011|    |     |
J2120+1303|1747132467687929600|DA      | 8746|  44|7.956|0.011|0.571|0.010|    |     |
J2120+2320|1792207664128299776|DA      | 6171|  42|8.123|0.030|0.664|0.026|    |     |
J2122+0413|2693095097621419648|DA      | 4948|   8|7.784|0.006|0.456|0.005|    |     |
J2123+1917|1785659488269249408|DA      | 9848|  42|8.074|0.010|0.644|0.009|    |     |
J2125+2752|1847460116290325888|DA      | 6021|  59|8.019|0.033|0.599|0.029|    |     |
J2126+0729|1739397914486670208|DA      | 6630|  42|8.386|0.021|0.839|0.019|    |     |
J2126+7338|2274076297221555968|DA      |15553| 270|7.945|0.012|0.583|0.010|    |     |
J2127+0229|2691890685712023552|DA      | 6990|  64|8.341|0.040|0.810|0.036|    |     |
J2127+2632|1847118992806013568|DA      | 6438|  42|7.987|0.021|0.582|0.018|    |     |
J2129+0013|2687768066863960576|DA      | 8845|  42|7.161|0.008|0.247|0.003|    |     |
J2134+0955|1742342784582615936|DAZ     |13089| 128|7.975|0.010|0.594|0.008|    |     |
J2138+1123|1766620929036759808|DAH     | 9870|  46|8.060|0.015|0.636|0.014|    |     |
J2140+2140|1793628851625008512|DA      |10040|  56|7.949|0.016|0.571|0.013|    |     |
J2141+0923|1741417790361772160|DA      | 9239|  44|7.842|0.009|0.509|0.007|    |     |
J2141+1146|1766702297192943488|DA      |15407| 160|7.936|0.011|0.577|0.009|    |     |
J2143+1934|1786444230333492480|DA      | 6087|  46|8.010|0.040|0.594|0.034|    |     |
J2143+2829|1801199745097109632|DA      | 5983|  34|7.982|0.030|0.577|0.025|    |     |
J2143-0659|2667464656943675392|DA      | 8866|  31|8.422|0.005|0.866|0.005|    |     |
J2144+4753|1977776953135753856|DA      | 7604|  54|7.982|0.013|0.583|0.011|    |     |
J2147+1127|1765881576187554432|DA:     | 4901|  18|7.925|0.023|0.534|0.019|    |     |
J2147-0824|2666306798185155200|DA      | 6032|  20|7.942|0.010|0.554|0.008|    |     |
J2149+0415|2696628687474414208|DA      | 5106|   8|7.316|0.006|0.261|0.003|    |     |
J2150+1953|1780497934010525312|DA      | 8621|  59|8.128|0.021|0.675|0.019|    |     |
J2151+2305|1795037875776233984|DA      | 9272|  77|8.401|0.016|0.854|0.014|    |     |
J2152+0223|2693940725141960192|DA      |17753|  72|8.065|0.004|0.657|0.003|    |     |
J2153+0726|2700725635303873024|DA      | 8636|  58|7.986|0.017|0.588|0.014|    |     |
J2153+2948|1897310564741680512|DA      | 6206|  39|8.251|0.025|0.748|0.023|    |     |
J2154+2657|1799905929149972352|DA      | 6437|  33|7.955|0.022|0.563|0.018|    |     |
J2155+1201|1766164322474245376|DA      | 5998|  25|8.001|0.063|0.588|0.053|    |     |
J2158+1814|1779145878305570944|DA      | 9257|  70|8.590|0.025|0.976|0.020|    |     |
J2201+1544|1769541820331697792|DA      |10550|  54|7.798|0.012|0.491|0.009|    |     |
J2202+2919|1896636873351587840|DA      |15698| 100|7.981|0.008|0.603|0.007|    |     |
J2206+0825|2722195455261832448|DA      | 6019|  56|8.353|0.057|0.815|0.051|    |     |
J2206-0046|2677321641247692032|DA      |18085| 274|8.041|0.014|0.643|0.012|    |     |
J2208+2059|1781605382738862592|DA      |11092|  99|8.525|0.014|0.937|0.012|    |     |
J2208+2221|1782874287875828864|DA      | 9112|  49|8.586|0.016|0.973|0.013|    |     |
J2208+3115|1898485156696053504|DA      |16355| 193|8.190|0.010|0.730|0.009|    |     |
J2211+1136|2727596187657230592|DAH     | 9072| 163|9.356|0.040|1.317|0.013|    |     |
J2212+2338|1879147564661258240|DA      |22931| 280|8.346|0.012|0.839|0.010|    |     |
J2213+2925|1894996161487458048|DA      | 6823|  44|8.565|0.013|0.957|0.012|    |     |
J2214+1345|2734850353060588928|DA      |10642| 103|8.311|0.019|0.797|0.017|    |     |
J2215+3158|1898875311527105152|DA      | 7215|  36|8.091|0.010|0.648|0.009|    |     |
J2215-0728|2619561508006403712|DA      | 5747|  63|8.203|0.062|0.714|0.055|    |     |
J2218+0319|2706795626682842752|DA      | 8640|  48|7.996|0.013|0.594|0.011|    |     |
J2219-0930|2615280147167407104|DA      | 7074|  72|8.520|0.037|0.928|0.031|    |     |
J2220-0041|2677851743291189888|DA      | 7525|  42|7.892|0.021|0.531|0.017|    |     |
J2220-0600|2625820512307604352|DA      | 6049|  47|8.355|0.037|0.816|0.034|    |     |
J2221-0408|2626677723354947968|DA      | 8768|  46|7.896|0.026|0.537|0.020|    |     |
J2223+1338|2734319087081051264|DA      |22739| 344|8.403|0.012|0.874|0.010|    |     |
J2223+2201|1874954641491354624|DA      |18760| 236|8.380|0.010|0.855|0.008|    |     |
J2223+2201|1874954645786146304|DA      |13028|  88|8.224|0.006|0.745|0.006|    |     |
J2223+2319|1878189370339859328|DAH     | 8720|  86|8.519|0.018|0.930|0.015|    |     |
J2224+2158|1874951106733026048|DA      | 8064|  31|7.992|0.008|0.590|0.008|    |     |
J2224+2716|1881612734154248320|DAM     | 9734| 279|8.212|0.050|0.731|0.044|    |     |
J2225+3005|1894563160062140416|DA      | 7890|  68|8.417|0.016|0.862|0.015|    |     |
J2225-0113|2629899631727265920|DA      | 4958|  34|7.867|0.088|0.502|0.069|    |     |
J2225-0114|2629899631727265280|DA      | 5591|  24|7.609|0.034|0.380|0.021|    |     |
J2227+1753|2737921155893258496|DAZ     | 6668|  30|7.954|0.009|0.563|0.007|    |     |
J2228+1754|2737918849495239936|DA      |14118| 168|7.974|0.014|0.595|0.011|    |     |
J2229+1745|2737737292637935232|DA      |11939|  82|8.224|0.011|0.743|0.010|    |     |
J2229+2327|1875613386395668864|DA      | 5013|  20|8.108|0.012|0.647|0.011|    |     |
J2229+3024|1900545847646195840|DA      | 9259|  55|7.249|0.011|0.272|0.005|    |     |
J2229+3927|1909045549271308928|DA      | 7043|  38|8.443|0.010|0.877|0.009|    |     |
J2230+1256|2730989658498251776|DA      | 7503|  36|8.459|0.009|0.889|0.008|    |     |
J2230+1523|2736054627915080448|DA      | 5292|  10|8.123|0.008|0.659|0.008|    |     |
J2230-0023|2630076966632012160|DA      | 9341|  28|7.844|0.005|0.511|0.005|    |     |
J2231+0137|2702619273499003776|DA      | 6660|  46|8.189|0.022|0.709|0.021|    |     |
J2231-0902|2621138310760174592|DA      | 6076|  31|8.060|0.026|0.625|0.023|    |     |
J2232+2155|1874375473741569664|DA      | 7199|  60|8.244|0.026|0.746|0.023|    |     |
J2232+3205|1901175799087508608|DA      | 6334|  25|7.857|0.014|0.508|0.011|    |     |
J2233+2610|1880503434295761024|DA      |14559|  96|7.797|0.008|0.502|0.006|    |     |
J2234+1456|2733055335904034432|DA      | 6329|  19|8.031|0.006|0.608|0.005|    |     |
J2236+0007|2654170736729886976|DA      |24707| 332|8.059|0.011|0.668|0.009|    |     |
J2237+3206|1901132845117712256|DA      | 6469|  57|8.285|0.024|0.771|0.022|    |     |
J2238+1313|2731772377633104128|DAZ     | 8037|  44|8.000|0.012|0.595|0.010|    |     |
J2241+0801|2715786505062211840|DA      | 5826|  32|8.075|0.018|0.633|0.016|    |     |
J2241+1332|2731866347221858432|DA      | 5992|  22|8.258|0.008|0.752|0.008|    |     |
J2242+1403|2731922422315395968|DA      | 7876|  57|7.993|0.019|0.590|0.016|    |     |
J2243+2005|2834500058254189440|DA      |10700|  74|8.363|0.015|0.831|0.014|    |     |
